epoch: 0  loss_for: 11.324487686157227  loss_rev: 2.0393226146698
epoch: 1  loss_for: 5.591014385223389  loss_rev: 7.751032829284668
epoch: 2  loss_for: 5.448296546936035  loss_rev: 1.265660285949707
epoch: 3  loss_for: 4.315298557281494  loss_rev: 1.52875816822052
epoch: 4  loss_for: 4.511661529541016  loss_rev: 1.4626579284667969
epoch: 5  loss_for: 4.136936664581299  loss_rev: 1.4554320573806763
epoch: 6  loss_for: 3.7851622104644775  loss_rev: 1.4347195625305176
epoch: 7  loss_for: 3.6266345977783203  loss_rev: 1.35506010055542
epoch: 8  loss_for: 3.526874303817749  loss_rev: 1.2574758529663086
epoch: 9  loss_for: 3.548711061477661  loss_rev: 1.1551624536514282
epoch: 10  loss_for: 3.710184097290039  loss_rev: 1.3269226551055908
epoch: 11  loss_for: 3.524024486541748  loss_rev: 1.5168633460998535
epoch: 12  loss_for: 3.362053871154785  loss_rev: 1.7433655261993408
epoch: 13  loss_for: 3.3818273544311523  loss_rev: 1.3071515560150146
epoch: 14  loss_for: 3.3793365955352783  loss_rev: 1.1891003847122192
epoch: 15  loss_for: 3.352410078048706  loss_rev: 1.8611394166946411
epoch: 16  loss_for: 3.5277626514434814  loss_rev: 1.849706768989563
epoch: 17  loss_for: 3.3902218341827393  loss_rev: 1.8852670192718506
epoch: 18  loss_for: 3.367955207824707  loss_rev: 1.9497100114822388
epoch: 19  loss_for: 3.3825647830963135  loss_rev: 1.5764938592910767
epoch: 20  loss_for: 3.4076225757598877  loss_rev: 1.4959524869918823
epoch: 21  loss_for: 3.333207130432129  loss_rev: 1.2240022420883179
epoch: 22  loss_for: 3.2929794788360596  loss_rev: 1.2195463180541992
epoch: 23  loss_for: 3.2360758781433105  loss_rev: 1.6522295475006104
epoch: 24  loss_for: 3.333355188369751  loss_rev: 2.4803526401519775
epoch: 25  loss_for: 3.403717279434204  loss_rev: 1.150984764099121
epoch: 26  loss_for: 3.540884494781494  loss_rev: 1.3507541418075562
epoch: 27  loss_for: 3.589557409286499  loss_rev: 1.1684848070144653
epoch: 28  loss_for: 3.442953109741211  loss_rev: 1.6444895267486572
epoch: 29  loss_for: 3.3810322284698486  loss_rev: 1.4348983764648438
